¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2285,	AMS048TW1057A       ,	2200,	UTC1000S    ,	20211026-A-AMS048TW1057A-2200-Criteria  ,	20211025,	230600,
2286,	AAB063NW3004A       ,	2200,	UTC2000     ,	AAB063NW3004A-2200-Criteria             ,	20211022,	145814,
2287,	ABU084CC2004B       ,	2200,	UTC1000S    ,	20211028-C-ABU084CC2004B-2200-Criteria  ,	20211028,	132103,
2288,	ABU084CC2004B       ,	2200,	UTC2000     ,	20211028-C-ABU084CC2004B-2200-Criteria  ,	20211028,	132103,
2289,	ABU084CC2004B       ,	2200,	UTC3000     ,	20211028-C-ABU084CC2004B-2200-Criteria  ,	20211028,	132103,
2290,	AAB063NW3008A       ,	2200,	UTC2000     ,	20211025-C-AAB063NW3008A-2200-Criteria  ,	20211025,	21500,
2291,	AAB024MAA010A       ,	2200,	UTC2000     ,	20211022-A-AAB024MAA010A-2200-Criteria  ,	20211022,	165612,
2292,	AHQ0282J2006B       ,	2200,	ICONN       ,	20211022-A-AHQ0282J2006B-2200-Criteria  ,	20211022,	170909,
2293,	AHQ0282J2006B       ,	2200,	RAPID       ,	20211022-A-AHQ0282J2006B-2200-Criteria  ,	20211022,	170909,
2294,	ABU008YQ2017A       ,	2200,	MAXUM       ,	ABU008YQ2017A-2200-Criteria             ,	20211022,	171631,
2295,	AAS048MAB001A       ,	2200,	MAXUM       ,	20211022-A-AAS048MAB001A-2200-Criteria  ,	20211022,	180851,
2296,	AAS048MAB008A       ,	2200,	MAXUM       ,	20211022-A-AAS048MAB008A-2200-Criteria  ,	20211022,	180913,
2297,	AAS096EL1001A       ,	2200,	MAXUM       ,	20211030-C-AAS096EL1001A-2200-Criteria  ,	20211030,	231845,
2298,	AAS096EL1001A       ,	2200,	ICONN       ,	20211030-C-AAS096EL1001A-2200-Criteria  ,	20211030,	231845,
2299,	AAW008Y62031A       ,	2200,	MAXUM-PLUS  ,	20211023-B-AAW008Y62031A-2200-Criteria  ,	20211023,	171046,
2300,	AAW008Y62031A       ,	2200,	MAXUM       ,	20211023-B-AAW008Y62031A-2200-Criteria  ,	20211023,	171046,
2301,	ABU024MAA005A       ,	2200,	UTC1000S    ,	20211022-A-ABU024MAA005A-2200-Criteria  ,	20211022,	190309,
2302,	AAW024MA6044B       ,	2200,	UTC2000     ,	20211022-A-AAW024MA6044B-2200-Criteria  ,	20211022,	190446,
2303,	AAW024MA5007A       ,	2200,	UTC1000S    ,	20211022-A-AAW024MA5007A-2200-Criteria  ,	20211022,	190505,
2304,	AAW024MA5007A       ,	2200,	UTC2000     ,	20211022-A-AAW024MA5007A-2200-Criteria  ,	20211022,	190505,
2305,	AAB054TS1003A       ,	2200,	UTC1000S    ,	20211022-A-AAB054TS1003A-2200-Criteria  ,	20211022,	190522,
2306,	AAB048TW2010A       ,	2200,	UTC1000S    ,	20211022-A-AAB048TW2010A-2200-Criteria  ,	20211022,	190530,
2307,	AAB048TW2010A       ,	2200,	UTC2000     ,	20211022-A-AAB048TW2010A-2200-Criteria  ,	20211022,	190530,
2308,	AAS067KQ1001A       ,	2200,	MAXUM       ,	20211022-A-AAS067KQ1001A-2200-Criteria  ,	20211022,	190537,
2309,	AAS063NW3011A       ,	2200,	MAXUM       ,	20211022-A-AAS063NW3011A-2200-Criteria  ,	20211022,	190546,
2310,	AAS048N02001A       ,	2200,	MAXUM       ,	20211022-A-AAS048N02001A-2200-Criteria  ,	20211022,	190559,
2311,	AAB008YQ2034A       ,	2200,	MAXUM       ,	AAB008YQ2034A-2200-Criteria             ,	20211023,	102337,
2312,	AAS096EL1002A       ,	2200,	MAXUM-PLUS  ,	20211102-C-AAS096EL1002A-2200-Criteria  ,	20211102,	110001,
2313,	AAS096EL1002A       ,	2200,	MAXUM       ,	20211102-C-AAS096EL1002A-2200-Criteria  ,	20211102,	110001,
2314,	AAS096EL1002A       ,	2200,	ICONN       ,	20211102-C-AAS096EL1002A-2200-Criteria  ,	20211102,	110001,
2315,	AZA0086A1027A       ,	2200,	MAXUM       ,	20211022-A-AZA0086A1027A-2200-Criteria  ,	20211022,	221619,
2316,	AZA0086A1024A       ,	2200,	MAXUM       ,	20211022-A-AZA0086A1024A-2200-Criteria  ,	20211022,	221628,
2317,	ANV132X2C026A       ,	2200,	UTC1000S    ,	20211023-A-ANV132X2C026A-2200-Criteria  ,	20211023,	60900,
2318,	ANV132X2C026A       ,	2200,	UTC2000     ,	20211023-A-ANV132X2C026A-2200-Criteria  ,	20211023,	60900,
2319,	ANV132X2C026A       ,	2200,	UTC3000     ,	20211023-A-ANV132X2C026A-2200-Criteria  ,	20211023,	60900,
2320,	ANV132X2C026A       ,	2200,	RAPID       ,	20211023-A-ANV132X2C026A-2200-Criteria  ,	20211023,	60900,
2321,	ABU084CC2003B       ,	2200,	UTC1000S    ,	20211022-A-ABU084CC2003B-2200-Criteria  ,	20211023,	60916,
