¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
551,	QFN-48AC1   ,	ABW048AC1003A       ,	048ACCM021ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
552,	VFBGA63BFU  ,	AAB063NW3003A       ,	063NWCM054ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
553,	TSOP2-66CME ,	AQW066TS1001A       ,	066TSCM046ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
554,	TSOP2-66CME ,	AAS066TS1009A       ,	066TSCM048ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
555,	TSOP2-86E   ,	ABU086TA1007A       ,	086TACM029ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
556,	STBGA132C4V ,	ANV132X2B006A       ,	132X2CM095ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
557,	VFBGA200BEP ,	ABU200N74005A       ,	200N7CM010ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
558,	STBGA345UBC ,	ANV345XTA010A       ,	345XTCM027ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
559,	DFN-08YM2D  ,	AAS008YM2011A       ,	008YMAS030               ,	393.71,	96.00,	0.00,	0.00,	0.00,	125.13,
560,	SSBGA153JAVT,	AAS153XT9015A       ,	153XTAS008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
561,	MAT         ,	                    ,	0008WVE016               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
562,	TSOP2-54CMES,	AVE054TS1003B       ,	054TSVE004               ,	0.00,	0.00,	2.42,	0.00,	0.00,	0.00,
563,	MINIBGA48J3U,	ABU048MA7001A       ,	048MABU068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
564,	MINIBGA48J3U,	ABU048MA7005A       ,	048MABU069               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
565,	MINIBGA54A4 ,	BU054MF1002A        ,	054MFBU004               ,	0.00,	0.00,	23.52,	3.88,	0.00,	0.00,
566,	FBGAS-96UEF7,	ABU096EF5001A       ,	096EFBU003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
567,	FBGA-126UCT ,	ABU126CT2001B       ,	126CTBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
568,	VFBGA200jEV ,	ABU200N75001A       ,	200N7BU024               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
569,	FCBGA85A3F  ,	AST085UO1001A       ,	085UOST002               ,	0.00,	6.48,	0.00,	0.00,	0.00,	0.00,
570,	TSOP1-48AM  ,	AMS048TW1058A       ,	048TWMS068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
571,	FBGA-78UEN  ,	AMS078EN1002A       ,	078ENMS016               ,	0.00,	35.78,	182.78,	0.00,	0.00,	60.79,
572,	FBGA-96UEC  ,	AMS096EC1002A       ,	096ECMS003               ,	384.07,	22.34,	187.02,	19.52,	0.00,	22.30,
573,	VFBGA132B4U ,	ALW132NY4039A       ,	132NYLW060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
574,	SSLGA16DOU  ,	AAW016D53019A       ,	016D5AW021               ,	121.39,	32.80,	26.78,	5.95,	0.00,	17.29,
575,	MINIBGA24A3L,	AAW024MA6012A       ,	024MAAW020               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
576,	MINIBGA24A3L,	AAW024MA6015B       ,	024MAAW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
577,	MBGA24J3U   ,	AAW024MAA006A       ,	024MAAW083               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
578,	TSOP1-48/48M,	AAW048TP1034C       ,	048TPAW200               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
579,	STBGA63BAU  ,	AAW063XM5001A       ,	063XMAW004               ,	0.00,	0.00,	8.44,	0.00,	0.00,	0.00,
580,	MAT         ,	                    ,	0008WNV287               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
581,	MAT         ,	                    ,	0008WNV506               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
582,	uSD08AQV-C  ,	ANV0086A1065A       ,	0086ANV161               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
583,	uSD08AQV-C  ,	ANV0086A1071A       ,	0086ANV177               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
584,	WLCSP       ,	                    ,	000IAVT005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
585,	DFN-08YM2D  ,	AAB008YM2027A       ,	008YMAB057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
586,	DFN-08YQ2A  ,	AAB008YQ2002A       ,	008YQAB044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
587,	STDFN-08YQ2A,	AAB008YQ2026A       ,	008YQAB046               ,	0.00,	0.00,	41.71,	13.63,	0.00,	0.00,
588,	DFN-08YQ2A  ,	AAB008YQ2022A       ,	008YQAB072               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
589,	DFN-08YQ2A  ,	AAB008YQ2032A       ,	008YQAB103               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
590,	STDFN-08YQ2A,	AAB008YQ2045A       ,	008YQAB105               ,	0.00,	0.00,	0.00,	0.00,	0.00,	26.04,
591,	MBGA24J3U   ,	AAB024MA0007A       ,	024MAAB088               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
592,	VFBGA54B4L  ,	AB054NR1001A        ,	054NRAB006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
593,	TSOP2-54ME  ,	AAB054TN1005A       ,	054TNAB041               ,	47.93,	0.00,	140.21,	37.00,	0.00,	0.00,
594,	TSOP2-54CME ,	AAB054TS1003A       ,	054TSAB006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
595,	VFBGA60B4L  ,	AB060NR1001A        ,	060NRAB021               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
596,	VFBGA60B4L  ,	AAB060NR1007A       ,	060NRAB026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
597,	VFBGA63BFU  ,	AAB063NW3003A       ,	063NWAB005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
598,	FBGA96UEL(2),	AAB096EL1012A       ,	096ELAB052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
599,	WLCSP-WAFER ,	ENG                 ,	000IABW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
