pkg_type,process_id,version,detail_id,remark,
	T,	064MR026       ,	 F,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR026       ,	 F,	S22000102,	A0803CB0746(KNS)                        ,
	T,	064MR039       ,	 G,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR039       ,	 G,	S22000102,	A0803CB0746(KNS)                        ,
	T,	016D5016ENG    ,	 N,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5016ENG    ,	 N,	S22000102,	A0803CB0934(KNS)                        ,
	T,	016D5015ENG    ,	 T,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5015ENG    ,	 T,	S22000102,	A0803CB0934(KNS)                        ,
	T,	024MA099       ,	 E,	S22000102,	A0801CB0700                             ,
	T,	048TP091ENG    ,	 E,	S22000102,	A0801CB1173(UTC)                        ,
	T,	016D5012       ,	 O,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5012       ,	 O,	S22000102,	A0803CB0934(KNS)                        ,
	T,	024MA213       ,	 C,	S22000102,	A0801CB1057(UTC)                        ,
	T,	064MR020       ,	 F,	S22000102,	A0801CB0746(UTC)                        ,
	T,	048TP076       ,	 G,	S22000102,	A0801CB0831 (UTC)                       ,
	T,	048TP076       ,	 G,	S22000102,	A0803CB0831 (KNS)                       ,
	T,	048TP074       ,	 I,	S22000102,	A0801CB0831 (UTC)                       ,
	T,	048TP074       ,	 I,	S22000102,	A0803CB0831 (KNS)                       ,
	T,	024MA060       ,	 D,	S22000102,	A0801CB0700(UTC)                        ,
	T,	024MA060       ,	 D,	S22000102,	A0803CB0700(KNS)                        ,
	T,	024MA171       ,	 B,	S22000102,	A0801CB1133(UTC)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0803CB0871(KNS)                        ,
	T,	024MA091       ,	 F,	S22000102,	A0801CB0533                             ,
	T,	052XY004       ,	 C,	S22000102,	A0801CB0572(UTC)                        ,
	T,	024MA197       ,	 D,	S22000102,	A0801CB1057(UTC)                        ,
	T,	048TP189       ,	 I,	S22000102,	A0801CB0967                             ,
	T,	008Y6090       ,	 I,	S22000102,	A0803CB0926(KNS)                        ,
	T,	008YM112       ,	 E,	S22000102,	A0803CB0832(KNS)                        ,
	T,	063XM004       ,	 C,	S22000102,	A0801CB1232(UTC)                        ,
	T,	024XJ053       ,	 D,	S22000102,	A0801CB0533                             ,
