ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP
BB547,UTC1000S,STOP,P46MSC203,2200,078ENMS016,AMS078EN1002A,21-11-12 13:22,21-11-12 13:22,MTI,FBGA-78UEN,3560
BB548,UTC1000S,RUNNING,P45AWDB01,2200,052XYAW004,AAW052XY1002A,21-11-13 03:34,21-11-11 20:12,MXIC,STBGA52D4L,5720
BB549,UTC1000S,RUNNING,P46MSAT06,2200,078U9MS017,AMS078C93001B,21-11-12 16:34,21-11-11 15:49,MTI,FBGA-78U9,6680
BB550,UTC1000S,RUNNING,P45AWC802,2200,064MRAW029,AAW064MR1009A,21-11-12 08:34,21-11-11 20:18,MXIC,MBGA64J4U,3994
BB551,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 17:36,,,
BB552,UTC1000S,RUNNING,P46MSB401,2200,078U9MS017,AMS078C93001B,21-11-12 16:23,21-11-11 15:47,MTI,FBGA-78U9,6642
BB553,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 13:22,,,
BB554,UTC1000S,RUNNING,P46MSB306,2200,078U9MS017,AMS078C93001B,21-11-13 06:34,21-11-12 05:47,MTI,FBGA-78U9,6687
BB555,UTC1000S,RUNNING,P45CDBT13,2200,066TNCD012,CD066TA1007A,21-11-12 20:23,21-11-12 11:46,ETRON,TSOP2-66ME,2880
BB556,UTC1000S,RUNNING,P45ABGH13,2200,054TNAB041,AAB054TN1005A,21-11-12 16:34,21-11-12 13:19,WINBOND,TSOP2-54ME,892
BB557,UTC1000S,RUNNING,P45ABHN01,2200,060EMAB003,AAB060EM2002A,21-11-12 20:54,21-11-11 18:33,WINBOND,FBGA60UEM2-1,7641
BB558,UTC1000S,RUNNING,P45ABAR02,2200,060NRAB016,AAB060NR1007A,21-11-12 21:10,21-11-12 06:40,WINBOND,VFBGA60B4L,5677
BB559,UTC1000S,RUNNING,P45CDBS09,2200,066TNCD012,CD066TA1007A,21-11-12 21:48,21-11-12 13:10,ETRON,TSOP2-66ME,2880
BB560,UTC1000S,RUNNING,P45ABAM07,2200,060NRAB016,AAB060NR1007A,21-11-12 15:19,21-11-12 00:43,WINBOND,VFBGA60B4L,5720
BB561,UTC1000S,RUNNING,P46MSAA05,2200,078ENMS009,AMS078EN1001A,21-11-12 23:31,21-11-11 06:26,MTI,FBGA-78UEN,3586
BB562,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 18:29,,,
BB563,UTC1000S,RUNNING,P45AWEU01,2200,024MAAW023,AAW024MA6013C,21-11-12 14:52,21-11-12 08:30,MXIC,MINIBGA24A3L,8550
BB564,UTC1000S,RUNNING,P45ABLL01,2200,096EFAB009,AAB096EF3001A,21-11-12 13:38,21-11-12 02:45,WINBOND,FBGA96UEF3-2,2440
BB565,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 10:09,,,
BB566,UTC1000S,RUNNING,P45AWD804,2200,052XYAW004,AAW052XY1002A,21-11-12 22:43,21-11-11 15:28,MXIC,STBGA52D4L,5700
BB567,UTC1000S,RUNNING,P46MSBG04,2200,078U9MS017,AMS078C93001B,21-11-13 12:22,21-11-12 11:52,MTI,FBGA-78U9,6610
BB568,UTC1000S,RUNNING,P45AWEW01,2200,024MAAW023,AAW024MA6013C,21-11-12 11:52,21-11-12 10:05,MXIC,MINIBGA24A3L,2296
BB569,UTC1000S,RUNNING,P46MSAT05,2200,078U9MS017,AMS078C93001B,21-11-12 12:12,21-11-11 11:20,MTI,FBGA-78U9,6709
BB570,UTC1000S,IDLE,,,,AMS048TW1037A,,21-11-12 11:44,,,
BB571,UTC1000S,RUNNING,P46MSBM01,2200,078U9MS017,AMS078C93001B,21-11-13 13:01,21-11-12 12:17,MTI,FBGA-78U9,6675
BB572,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 09:08,,,
BB573,UTC1000S,RUNNING,P45BUCW09,2200,084UCBU006,ABU084CC2004B,21-11-13 01:19,21-11-12 09:26,ICSI,FBGA-84UC(2),5600
BB574,UTC1000S,IDLE,,,,ABU096EF2001A,,21-11-12 13:03,,,
