OPER,CUST,B/D#,MODEL,G.UPH
2200,ENG,AOK016D53005A,ICONN-PLUS,0.0000
2200,ENG,AOK016D53005A,UTC5000S,0.0000
2200,ENG,AOK016D53005A,MAXUM-PLUS,0.0000
2200,ENG,AOK016D53005A,RAPID,0.0000
2200,ENG,AOK016D53005A,MAXUM-BASE,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54003A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54001A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,LAPIS,AOK016D54002A,,0.0000
2200,ISSI-VG,ABU100X69005A,,0.0000
2200,ISSI-VG,ABU100X69005A,,0.0000
2200,ISSI-VG,ABU100X69005A,,0.0000
2200,ISSI-VG,ABU100X69005A,,0.0000
2200,ISSI-VG,ABU100X69005A,,0.0000
2200,ISSI-VG,ABU153XT9005A,ICONN,78.3649
2200,ISSI-VG,ABU153XT9005A,MAXUM,0.0000
