route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive
BGA161,P45AWCV04,MXIC,MINIBGA24A3L,024MAAW072,8556,0,2200,N,Y,AAW024MA6041B,,7,,Y
BGA161,P45AWCV03,MXIC,MINIBGA24A3L,024MAAW072,8593,0,2200,N,Y,AAW024MA6041B,,7,,Y
BGA161,P45AWCW02,MXIC,MINIBGA24A3L,024MAAW072,3776,0,2230,N,N,AAW024MA6041B,,2,,Y
BGA161,P45AWEE01,MXIC,MINIBGA24A4L,024MAAW047,1685,0,2230,N,N,AAW024MA6024A,,1,,Y
BGA161,P46AWA101,MXIC,MINIBGA24A4L,024MAAW075,5304,0,2230,N,N,AAW024MA6044B,,1,,
BGA161,P80CMTP01,ENG,VFBGA200BEP,200N7CM010ENG,384,0,2250,N,N,ABU200N74005A,,1,,Y
BGA161,P45AWCV01,MXIC,MINIBGA24A3L,024MAAW072,8580,0,2250,N,N,AAW024MA6041B,,7,,Y
BGA161,P80CMTQ01,ENG,VFBGA200BEP,200N7CM010ENG,130,0,2250,N,N,ABU200N74005A,,1,,Y
BGA161,P44HDA110,CHIPLUS,MBGA48A2,048MAHD005,4720,0,2430,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA115,CHIPLUS,MBGA48A2,048MAHD005,4650,0,2430,N,N,AHD048MA2002A,,17,,
BGA161,P82CMFX01,ENG,MBGA24G4U,024MACM120ENG,600,0,2430,N,N,AAW024MAA010A,E,1,,
BGA161,P44HDA108,CHIPLUS,MBGA48A2,048MAHD005,4562,0,2430,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA116,CHIPLUS,MBGA48A2,048MAHD005,4725,0,2430,N,Y,AHD048MA2002A,,17,,
BGA161,P44HDA101,CHIPLUS,MBGA48A2,048MAHD005,4742,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA105,CHIPLUS,MBGA48A2,048MAHD005,4743,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA109,CHIPLUS,MBGA48A2,048MAHD005,4534,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA113,CHIPLUS,MBGA48A2,048MAHD005,4599,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA117,CHIPLUS,MBGA48A2,048MAHD005,6426,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P45AWBZ01,MXIC,MBGA24J3U,024MAAW083,19643,0,2435,N,N,AAW024MAA006A,4,6,,Y
BGA161,P45AWDF01,MXIC,MBGA24J3U,024MAAW078,1416,0,2435,N,N,AAW024MAA002B,E,1,,
BGA161,P44HDA102,CHIPLUS,MBGA48A2,048MAHD005,4560,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA106,CHIPLUS,MBGA48A2,048MAHD005,4599,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA114,CHIPLUS,MBGA48A2,048MAHD005,4758,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA201,CHIPLUS,MBGA48A2,048MAHD006,4623,0,2435,N,N,AHD048MA2001A,,5,,
BGA161,P45AWBF06,MXIC,MINIBGA24A4L,024MAAW051,8299,0,2435,N,N,AAW024MA6027C,,9,,
BGA161,P45AWBZ03,MXIC,MBGA24J3U,024MAAW083,12220,0,2435,N,N,AAW024MAA006A,4,6,,Y
BGA161,P45AWDG01,MXIC,MBGA24J3U,024MAAW078,200,0,2435,N,N,AAW024MAA002B,E,1,,
BGA161,P44HDA103,CHIPLUS,MBGA48A2,048MAHD005,4592,0,2435,Y,N,AHD048MA2002A,,17,,
BGA161,P44HDA111,CHIPLUS,MBGA48A2,048MAHD005,4684,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P44HDA202,CHIPLUS,MBGA48A2,048MAHD006,4794,0,2435,N,N,AHD048MA2001A,,5,,
BGA161,P44HDA104,CHIPLUS,MBGA48A2,048MAHD005,4496,0,2435,Y,N,AHD048MA2002A,,17,,
BGA161,P44HDA112,CHIPLUS,MBGA48A2,048MAHD005,4678,0,2435,N,N,AHD048MA2002A,,17,,
BGA161,P82CMFE01,ENG,MBGA24G4U,024MACM120ENG,1199,0,2440,N,N,AAW024MAA010A,E,1,,
BGA161,P44HDA204,CHIPLUS,MBGA48A2,048MAHD006,4692,0,2450,N,N,AHD048MA2001A,,5,,
BGA161,P45AWBF03,MXIC,MINIBGA24A4L,024MAAW051,16934,0,2450,N,N,AAW024MA6027C,,9,,
BGA161,P44HDA205,CHIPLUS,MBGA48A2,048MAHD006,4234,0,2450,N,N,AHD048MA2001A,,5,,
BGA161,P44HDA107,CHIPLUS,MBGA48A2,048MAHD005,4715,0,2450,N,N,AHD048MA2002A,,17,,
