bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AAB096EL1002A,WINBOND,775.000000,BB484,P16ABA402,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AYZ084CC2002A,ZJP,144.000000,BB485,P10YZAQ06,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB048TW2006A,WINBOND,260.000000,BB486,P14ABNM15,1091A07T21,A0803CB0850 ,TSOP1-48AM,048TWAB012,0,0.000000
AMS078EN1001A,MTI,367.000000,BB487,P15MSEM02,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
ABU078EA1001A,ICSI,415.000000,BB488,P15BUCG01,1091A07C21,A0801CB1021,FBGA-78LEA,078EABU001,0,0.000000
AAB096EL1002A,WINBOND,231.000000,BB489,P16ABA401,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AMS096EF2001A,MTI,372.000000,BB490,P15MSCK04,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB090NC4006A,WINBOND,626.000000,BB496,P15ABE906,1091A08T21,A0803CB0622 ,VFBGA90B4L,090NCAB019,0,0.000000
AAB096EL1002A,WINBOND,624.000000,BB497,P16ABA201,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
ACS054TS1012A,CYPRESS,0.000000,BB498,P13CSGC01,1091A08C41,A0801CB0960,TSOP2-54CMES,054TSCS005,0,0.000000
AAB054TN1005A,WINBOND,247.000000,BB499,P15ABGR11,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AAB054TN1004A,WINBOND,207.000000,BB500,P15ABHJ01,1091A07T21,A0803CB0549,TSOP2-54ME,054TNAB029,0,0.000000
AMS048TW1058A,MTI,53.000000,BB501,P13MSBL04,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS048TW1058A,MTI,70.000000,BB502,P13MSBL07,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS048TW1058A,MTI,128.000000,BB503,P13MSBL05,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
CU048MA2012A,ICSI,211.000000,BB504,P14BUCA02,1091A10C41,A0803CB0248,MINIBGA48A1,048MABU002,0,0.000000
AYZ096EF2001A,ZJP,1188.000000,BB505,P15YZA304,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
AAB096EL1002A,WINBOND,1417.000000,BB506,P16ABBJ06,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
ABU096EA1001A,ICSI,97.000000,BB507,P15BUC801,1091A07C21,A0801CB1021,FBGA-96LEA,096EABU001,0,0.000000
AMS096EF2001A,MTI,259.000000,BB508,P15MSCR08,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAB096EL1002A,WINBOND,324.000000,BB509,P16ABA409,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AMS078EN1001A,MTI,444.000000,BB510,P15MSEM01,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AAW048TP1024D,MXIC,82.000000,BB511,P15AWET17,1091A08T41,A0803CB0831 ,TSOP1-48/48M,048TPAW056,0,0.000000
AMS048TW1058A,MTI,67.000000,BB512,P13MSBK18,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AAB096EL1002A,WINBOND,948.000000,BB513,P16ABA702,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AAB066TN1004A,WINBOND,103.000000,BB514,P15ABGM01,1091A07T21,A0803CB0902 ,TSOP2-66ME,066TNAB040,0,0.000000
AMS048TW1058A,MTI,301.000000,BB515,P13MSBL02,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AAB084CC9002A,WINBOND,271.000000,BB516,P16ABBF01,1091A07T21,A0803CB1250,FBGA-84UC2H,084UCAB028,0,0.000000
AAB090NC4006A,WINBOND,282.000000,BB517,P15ABE908,1091A08T21,A0803CB0622 ,VFBGA90B4L,090NCAB019,0,0.000000
AMS096EF2001A,MTI,20.000000,BB519,P15MSH201,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
ABU096EF2002A,ICSI,1133.000000,BB520,P15BUCU03,1091A07T21,A0803CB1087 ,FBGA-96UEF,096EFBU002,0,0.000000
ABU063NW1004A,ISSI-VG,323.000000,BB521,P15VGBA02,1091A07C21,A0801CB0619,VFBGA63H8L,063NWVG005,0,0.000000
AAW048TP1024D,MXIC,371.000000,BB522,P15AWET20,1091A08T41,A0803CB0831 ,TSOP1-48/48M,048TPAW056,0,0.000000
